id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun,tipe_pengelola
1080,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1079,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1550,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1549,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
2020,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
2019,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2490,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2489,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
1246,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1245,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1716,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1715,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
2186,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
2185,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2656,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2655,32,JAWA BARAT,BUKIT PANEMBONGAN,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
1188,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1187,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1658,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1657,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
2128,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
2127,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2598,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2597,32,JAWA BARAT,BUKIT TAMAN LANGIT,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
188,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN MANCANEGARA,0,ORANG,2016,PERHUTANI
187,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN NUSANTARA,1651,ORANG,2016,PERHUTANI
466,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN MANCANEGARA,0,ORANG,2017,PERHUTANI
465,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN NUSANTARA,0,ORANG,2017,PERHUTANI
730,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN MANCANEGARA,0,ORANG,2018,PERHUTANI
729,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN NUSANTARA,0,ORANG,2018,PERHUTANI
114,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN MANCANEGARA,0,ORANG,2016,PERHUTANI
113,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN NUSANTARA,0,ORANG,2016,PERHUTANI
398,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN MANCANEGARA,0,ORANG,2017,PERHUTANI
397,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN NUSANTARA,0,ORANG,2017,PERHUTANI
662,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN MANCANEGARA,0,ORANG,2018,PERHUTANI
661,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN NUSANTARA,0,ORANG,2018,PERHUTANI
94,32,JAWA BARAT,BUPER CITAMIANG,WISATAWAN MANCANEGARA,22,ORANG,2016,PERHUTANI
93,32,JAWA BARAT,BUPER CITAMIANG,WISATAWAN NUSANTARA,9149,ORANG,2016,PERHUTANI
