id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun,data_flag,tipe_pengelola
359,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN NUSANTARA,0,ORANG,2017,NORMAL,LAINNYA
623,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN NUSANTARA,553,ORANG,2018,NORMAL,LAINNYA
1218,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1688,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2158,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2628,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1217,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1687,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2157,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2627,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
922,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1392,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1862,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2332,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
921,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1391,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1861,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2331,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1028,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1498,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1968,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2438,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1027,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1497,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1967,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2437,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1006,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1476,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1946,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2416,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1005,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1475,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1945,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2415,32,JAWA BARAT,BUKIT KEMBAR,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1160,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1630,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2100,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2570,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1159,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1629,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2099,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2569,32,JAWA BARAT,BUKIT NANGKLAK,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1080,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1550,32,JAWA BARAT,BUKIT PALASARI CIATER,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
