tahun,bulan,jenis_hotel,tpk
2025,April,1.a. Hotel Bintang 1,29.85
2025,April,1.b. Hotel Bintang 2,48.15
2025,April,1.c. Hotel Bintang 3,43.38
2025,April,1.d. Hotel Bintang 4,49.98
2025,April,1.e. Hotel Bintang 5,50.23
2025,April,1. Hotel Berbintang Total,46.37
2025,April,2.a. Hotel NonBintang; kamar <10,23.43
2025,April,2.b. Hotel NonBintang; kamar 10-24,26.27
2025,April,2.c. Hotel NonBintang; kamar 25-40,27.26
2025,April,2.d. Hotel NonBintang; kamar >40,25.01
2025,April,2. Hotel NonBintang Total,25.76
2025,April,3. Hotel Berbintang dan NonBintang Total,38.07
2019,Mei,1.a. Hotel Bintang 1,
2019,Mei,1.b. Hotel Bintang 2,
2019,Mei,1.c. Hotel Bintang 3,
2019,Mei,1.d. Hotel Bintang 4,
2019,Mei,1.e. Hotel Bintang 5,
2019,Mei,1. Hotel Berbintang Total,38.79
2019,Mei,2.a. Hotel NonBintang; kamar <10,
2019,Mei,2.b. Hotel NonBintang; kamar 10-24,
2019,Mei,2.c. Hotel NonBintang; kamar 25-40,
2019,Mei,2.d. Hotel NonBintang; kamar >40,
2019,Mei,2. Hotel NonBintang Total,28.26
2019,Mei,3. Hotel Berbintang dan NonBintang Total,36.47
2020,Mei,1.a. Hotel Bintang 1,
2020,Mei,1.b. Hotel Bintang 2,
2020,Mei,1.c. Hotel Bintang 3,
2020,Mei,1.d. Hotel Bintang 4,
2020,Mei,1.e. Hotel Bintang 5,
2020,Mei,1. Hotel Berbintang Total,12.92
2020,Mei,2.a. Hotel NonBintang; kamar <10,
2020,Mei,2.b. Hotel NonBintang; kamar 10-24,
2020,Mei,2.c. Hotel NonBintang; kamar 25-40,
2020,Mei,2.d. Hotel NonBintang; kamar >40,
2020,Mei,2. Hotel NonBintang Total,13.87
2020,Mei,3. Hotel Berbintang dan NonBintang Total,13.35
2021,Mei,1.a. Hotel Bintang 1,
2021,Mei,1.b. Hotel Bintang 2,
2021,Mei,1.c. Hotel Bintang 3,
2021,Mei,1.d. Hotel Bintang 4,
2021,Mei,1.e. Hotel Bintang 5,
2021,Mei,1. Hotel Berbintang Total,35.72
2021,Mei,2.a. Hotel NonBintang; kamar <10,
2021,Mei,2.b. Hotel NonBintang; kamar 10-24,
2021,Mei,2.c. Hotel NonBintang; kamar 25-40,
2021,Mei,2.d. Hotel NonBintang; kamar >40,
2021,Mei,2. Hotel NonBintang Total,18.41
2021,Mei,3. Hotel Berbintang dan NonBintang Total,30.58
2022,Mei,1.a. Hotel Bintang 1,
2022,Mei,1.b. Hotel Bintang 2,
2022,Mei,1.c. Hotel Bintang 3,
2022,Mei,1.d. Hotel Bintang 4,
2022,Mei,1.e. Hotel Bintang 5,
2022,Mei,1. Hotel Berbintang Total,54.13
2022,Mei,2.a. Hotel NonBintang; kamar <10,
2022,Mei,2.b. Hotel NonBintang; kamar 10-24,
2022,Mei,2.c. Hotel NonBintang; kamar 25-40,
2022,Mei,2.d. Hotel NonBintang; kamar >40,
2022,Mei,2. Hotel NonBintang Total,28.31
2022,Mei,3. Hotel Berbintang dan NonBintang Total,
2023,Mei,1.a. Hotel Bintang 1,
2023,Mei,1.b. Hotel Bintang 2,
2023,Mei,1.c. Hotel Bintang 3,
2023,Mei,1.d. Hotel Bintang 4,
2023,Mei,1.e. Hotel Bintang 5,
2023,Mei,1. Hotel Berbintang Total,
2023,Mei,2.a. Hotel NonBintang; kamar <10,
2023,Mei,2.b. Hotel NonBintang; kamar 10-24,
2023,Mei,2.c. Hotel NonBintang; kamar 25-40,
2023,Mei,2.d. Hotel NonBintang; kamar >40,
2023,Mei,2. Hotel NonBintang Total,
2023,Mei,3. Hotel Berbintang dan NonBintang Total,
2024,Mei,1.a. Hotel Bintang 1,29.78
2024,Mei,1.b. Hotel Bintang 2,51.92
2024,Mei,1.c. Hotel Bintang 3,49.7
2024,Mei,1.d. Hotel Bintang 4,57.32
2024,Mei,1.e. Hotel Bintang 5,64.73
2024,Mei,1. Hotel Berbintang Total,52.31
2024,Mei,2.a. Hotel NonBintang; kamar <10,18.38
2024,Mei,2.b. Hotel NonBintang; kamar 10-24,24.85
2024,Mei,2.c. Hotel NonBintang; kamar 25-40,26.85
2024,Mei,2.d. Hotel NonBintang; kamar >40,21.32
2024,Mei,2. Hotel NonBintang Total,23.27
2024,Mei,3. Hotel Berbintang dan NonBintang Total,42.45
2025,Mei,1.a. Hotel Bintang 1,27.46
2025,Mei,1.b. Hotel Bintang 2,49.59
2025,Mei,1.c. Hotel Bintang 3,42.88
2025,Mei,1.d. Hotel Bintang 4,52.62
2025,Mei,1.e. Hotel Bintang 5,48.65
2025,Mei,1. Hotel Berbintang Total,47.08
2025,Mei,2.a. Hotel NonBintang; kamar <10,19.78
2025,Mei,2.b. Hotel NonBintang; kamar 10-24,22.53
