tahun,kode_wilayah,kabupaten_kota,wilayah,total_objek_wisata,alam,buatan,budaya,minat_khusus,alam_norm,budaya_norm,buatan_norm,minat_khusus_norm,total_norm
2020,3207,KABUPATEN CIAMIS,Priangan Timur,145,82.0,18.0,45.0,,0.41836734693877553,0.45,0.11920529801324503,,0.37566137566137564
2020,3208,KABUPATEN KUNINGAN,Pantura Timur,148,108.0,26.0,14.0,,0.5510204081632653,0.14,0.17218543046357615,,0.3835978835978836
2020,3209,KABUPATEN CIREBON,Pantura Timur,22,8.0,7.0,7.0,,0.04081632653061224,0.07,0.046357615894039736,,0.05026455026455026
2020,3210,KABUPATEN MAJALENGKA,Pantura Timur,179,100.0,40.0,39.0,,0.5102040816326531,0.39,0.26490066225165565,,0.4656084656084656
2020,3211,KABUPATEN SUMEDANG,Priangan Barat,100,29.0,60.0,11.0,,0.14795918367346939,0.11,0.3973509933774834,,0.2566137566137566
2020,3212,KABUPATEN INDRAMAYU,Pantura Timur,39,15.0,11.0,13.0,,0.07653061224489796,0.13,0.0728476821192053,,0.09523809523809523
2020,3213,KABUPATEN SUBANG,Pantura Barat,112,58.0,53.0,1.0,,0.29591836734693877,0.01,0.3509933774834437,,0.28835978835978837
2020,3214,KABUPATEN PURWAKARTA,Pantura Barat,63,28.0,25.0,10.0,,0.14285714285714285,0.1,0.16556291390728478,,0.15873015873015872
2020,3215,KABUPATEN KARAWANG,Pantura Barat,127,50.0,38.0,39.0,,0.25510204081632654,0.39,0.25165562913907286,,0.328042328042328
2020,3216,KABUPATEN BEKASI,Pantura Barat,35,11.0,22.0,2.0,,0.05612244897959184,0.02,0.1456953642384106,,0.08465608465608465
2020,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,159,74.0,67.0,18.0,,0.37755102040816324,0.18,0.44370860927152317,,0.4126984126984127
2020,3218,KABUPATEN PANGANDARAN,Priangan Timur,269,171.0,25.0,73.0,,0.8724489795918368,0.73,0.16556291390728478,,0.7037037037037037
2020,3271,KOTA BOGOR,Bogor-Sukabumi,23,0.0,22.0,1.0,,0.0,0.01,0.1456953642384106,,0.05291005291005291
